Country,Song Name,Popularity,Time Signature,Duration MS,Tempo,Valence,Liveness,Instrumentalness,Acousticness,Speechiness,Loudness,Key,Mode,Energy,Danceability
0,Amar Bhindeshi Tara - Chondrobindu (Lyrics).wav,38.0,4.0,309870.0,99.71,0.453,0.1,0.0383,0.884,0.0437,-17.548,4.0,1.0,0.178,0.457
0,Amar Priya Cafe by Moheener Ghoraguli.wav,24.0,4.0,357016.0,92.221,0.41,0.0678,0,0.656,0.0376,-7.46,9.0,1.0,0.424,0.722
0,Ami ek garib premik neela আমি এক গরীব প্রেমিক নীলা Argha dev Lyrical Video.wav,17.0,4.0,252000.0,126.471,0.588,0.12,5.46e-06,0.972,0.0438,-17.387,4.0,1.0,0.0924,0.532
0,Amra Bhison EkaCactus আমরা ভীষণ একা ক্যাকটাস LYRICS.wav,0.0,4.0,282880.0,171.468,0.442,0.16,0,0.338,0.0454,-10.202,1.0,0.0,0.61,0.458
0,Aro Ekber Fossils Audio Song Rupam Islam.wav,24.0,4.0,400510.0,136.951,0.148,0.0777,0.000331,0.0787,0.0341,-11.155,8.0,1.0,0.506,0.382
0,Bhalo Lage - Moheener Ghoraguli II ভালোবাসি জ্যোৎস্নায় কাশবনে ছুটতে (Lyrics).wav,21.0,4.0,399766.0,143.96,0.495,0.0921,0,0.45,0.0332,-6.886,9.0,1.0,0.561,0.521
0,Bhalo Theko - Recreated ভালো থেকো Cactuss New Band Song.wav,2.0,4.0,357324.0,127.97,0.332,0.132,0.000132,0.0211,0.0335,-8.258,1.0,1.0,0.721,0.569
0,Bishakto Chumbon OFFICIAL MUSIC VIDEO EESHAAN ALBUM SANKRAMAN.wav,5.0,4.0,279119.0,97.996,0.792,0.0477,0.000498,0.0516,0.0348,-8.404,11.0,1.0,0.871,0.63
0,Bondhu Tomay - Chandrabindu.wav,31.0,4.0,453644.0,114.957,0.626,0.48,0,0.574,0.0249,-7.052,7.0,1.0,0.58,0.784
0,Brishti Uh Ma with lyrics Cactus Bengali Band Songs Cactus.wav,1.0,4.0,601907.0,172.824,0.065,0.265,0.000349,0.683,0.0308,-13.763,4.0,1.0,0.269,0.262
0,Chandrabindu Mon Lyrics.wav,33.0,4.0,390147.0,79.987,0.341,0.213,0,0.367,0.0249,-7.138,9.0,1.0,0.51,0.648
0,Chandrabindu - Juju.wav,24.0,4.0,174613.0,97.52,0.894,0.28,0.000154,0.291,0.0402,-5.226,9.0,1.0,0.813,0.849
0,Classroom by prithibi band lyrics(ক্লাসরুম -পৃথিবী).wav,31.0,4.0,353359.0,140.029,0.416,0.104,0,0.016,0.0264,-5.572,6.0,1.0,0.664,0.498
0,Coffee Houser Sei Addata Aaj Aar Nei Manna Dey Suparnakanti Ghosh Bangla Gaan bengali songs.wav,27.0,4.0,386853.0,122.852,0.701,0.121,0.00347,0.904,0.0315,-13.106,4.0,1.0,0.416,0.62
0,Darjeeling by Anjan Dutta 1994.wav,13.0,4.0,278933.0,89.944,0.78,0.121,2.17e-06,0.593,0.0293,-15.291,2.0,1.0,0.372,0.713
0,E bhabeo Phire Asha Jaye Chandrabindoo Audio Song.wav,32.0,4.0,271152.0,100.002,0.962,0.0317,0,0.278,0.0443,-7.021,10.0,1.0,0.84,0.757
0,Eeshaan - Bangladesh.wav,9.0,4.0,259240.0,129.985,0.592,0.161,0,0.0441,0.0266,-8.126,4.0,1.0,0.643,0.612
0,Ek Notun Aazadi.wav,21.0,4.0,351770.0,112.988,0.487,0.103,0.000179,0.04,0.0511,-7.488,9.0,0.0,0.778,0.698
0,Ekla Ghor Fossils Audio Song Rupam Islam.wav,43.0,4.0,387319.0,138.038,0.283,0.327,3.06e-05,0.238,0.0307,-10.85,9.0,0.0,0.527,0.666
0,Fossils - ACID!! Lyrics.wav,30.0,4.0,328204.0,134.071,0.332,0.142,4.78e-06,0.00935,0.0838,-4.33,8.0,1.0,0.895,0.709
0,Fossils - Bishakto Manush.wav,17.0,5.0,316266.0,86.605,0.15,0.112,0,0.592,0.0376,-6.455,4.0,0.0,0.487,0.338
0,Fossils - Nemesis Lyrics.wav,33.0,4.0,358715.0,113.008,0.405,0.1,4.84e-05,0.0545,0.0399,-10.279,5.0,0.0,0.64,0.62
0,Ganga by Moheener Ghoraguli.wav,6.0,4.0,260651.0,149.57,0.357,0.0452,0,0.874,0.0293,-12.755,2.0,1.0,0.22,0.385
0,Ghore Ferar Gaan by Moheener Ghoraguli.wav,26.0,3.0,357356.0,120.443,0.511,0.0992,2.05e-05,0.55,0.0337,-14.628,0.0,0.0,0.274,0.453
0,GHUM EESHAAN Album GIRGITI.wav,3.0,4.0,270865.0,98.106,0.28,0.109,9.56e-06,0.307,0.0255,-10.516,4.0,1.0,0.324,0.617
0,GIRGITI EESHAAN Album GIRGITI.wav,6.0,4.0,335805.0,188.075,0.821,0.0592,1.53e-05,0.0984,0.0598,-8.282,8.0,0.0,0.618,0.543
0,Haajar Bichhana.wav,32.0,4.0,414629.0,136.014,0.306,0.146,0,0.00721,0.0466,-6.101,9.0,1.0,0.886,0.535
0,Hansnuhana Fossils Rupam Islam Audio Song.wav,44.0,4.0,294323.0,133.127,0.307,0.105,2.18e-05,0.27,0.0548,-12.304,4.0,1.0,0.427,0.528
0,Jeremir Behala জেরেমির বেহালা Anjan Dutta Slideshow video Kolkata nostalgia.wav,9.0,3.0,368718.0,142.367,0.255,0.335,1.96e-05,0.737,0.0316,-11.242,2.0,0.0,0.451,0.409
