Country,Song Name,Number Of Beats,Tempo,Hemitonicity,Melodic Range,Melisma,Max Phrase Length,Min Phrase Length,Avg Phrase Length,Phrase Symmetry,Phrase Overlap,Key,Mode,Mode Type,Tuning,Timbre,Timbre Mean

1,Abar  Black  Album Abar  Bangla Band Song  Official Art Track.wav,322,89.10290948275862,24.565153684157504,5673.50454547584,1.763570210712888,0.011020408163265306,9.070294784580499e-05,0.010929705215419501,121.5,12.262773722627736,1,1,6,-0.010000000000000009,[[0. 0. 0. ... 0. 0. 0.]],2124.3495323698407

1,Abar Hashimukh - Shironamhin [Lyrics Video].wav,890,151.99908088235293,25.329641648460175,5673.50454547584,5.489897204841747,0.011247165532879818,9.070294784580499e-05,0.011156462585034013,124.0,10.742971887550201,4,1,4,0.12,"[[   0.            0.            0.         ... 1487.935597
  1652.41288179 1781.91626963]]",2128.8284727666846

1,Ahare Jibon (আহারে জীবন)  Chirkutt  Doob(ডুব)  Irrfan Khan  Nusrat Imrose Tisha  Parno Mittra.wav,363,89.10290948275862,29.903021987285253,5442.330451944964,-0.11237625434635348,0.010657596371882086,9.070294784580499e-05,0.01056689342403628,117.5,6.403940886699508,6,1,6,0.020000000000000018,"[[   0.            0.         4931.30381812 ... 3383.04307217
  3434.46675519 4791.38467925]]",1418.0813984101355

1,Amar Prithibi  Black  Album Amar Prithibi  Official lLyrical Video.wav,640,161.4990234375,26.971658031440537,5554.061737214742,-0.40898195004698007,0.014648526077097506,9.070294784580499e-05,0.0145578231292517,161.5,10.2803738317757,1,1,6,0.22999999999999998,"[[   0.            0.            0.         ... 4755.10818856
     0.            0.        ]]",2222.01171286457

1,Anmone - Aushomapto - Aurthohin.wav,894,161.4990234375,24.81371213058095,5337.375042444556,0.9177281006906544,0.002857142857142857,9.070294784580499e-05,0.002766439909297052,31.5,12.930135557872784,1,1,6,0.030000000000000027,[[0. 0. 0. ... 0. 0. 0.]],2037.7295547243868

1,Anmone 2 - Aushomapto 2 - Aurthohin.wav,447,89.10290948275862,24.91953675129036,5554.061737214742,3.5573828082942014,0.0039002267573696146,9.070294784580499e-05,0.0038095238095238095,43.0,12.959381044487428,10,0,5,0.010000000000000009,"[[    0.             0.             0.         ...  7210.0359668
   7324.77221397 10001.61350135]]",2239.4632081443706

1,Arbovirus - Hariye Jao (lyrics) । অর্বোভাইরাস - হারিয়ে যাও (লিরিক্স) । Arvovirus songs.wav,509,89.10290948275862,24.193772199606887,5442.330451944964,0.4988191563436481,0.02077097505668934,9.070294784580499e-05,0.020680272108843538,228.99999999999997,12.351778656126482,8,1,6,0.030000000000000027,[[0. 0. 0. ... 0. 0. 0.]],2023.4383962821412

1,ARBOVIRUS - HARIYE JAO.wav,522,89.10290948275862,23.852101456659263,5673.50454547584,0.3670998734481168,0.0254421768707483,9.070294784580499e-05,0.025351473922902497,280.5,9.501738122827346,8,1,6,0.040000000000000036,[[0. 0. 0. ... 0. 0. 0.]],2024.300855324518

1,Arbovirus - Omanush.wav,504,123.046875,22.904791726657653,5673.50454547584,2.6484905898461415,0.005714285714285714,9.070294784580499e-05,0.005623582766439909,63.0,17.857142857142858,2,1,1,0.050000000000000044,[[0. 0. 0. ... 0. 0. 0.]],2551.5091303081335

1,Arbovirus - School (Official Music Video).wav,525,123.046875,25.874835969733567,5673.50454547584,0.6580019199308073,0.007165532879818594,9.070294784580499e-05,0.007074829931972789,79.0,8.284023668639055,8,0,6,0.06000000000000005,[[0. 0. 0. ... 0. 0. 0.]],2063.7885364531417

1,Arnob-She je boshe ache.wav,437,129.19921875,26.446216778808058,5673.50454547584,-0.6416340773275812,0.0036281179138321997,9.070294784580499e-05,0.0035374149659863946,40.0,19.252077562326868,11,0,3,0.08999999999999997,[[0. 0. 0. ... 0. 0. 0.]],2605.3704219659426

1,Artcell - Ei Bristy Veja Rate Lyrics.wav,337,83.35433467741936,25.036968596875628,5673.50454547584,-1.2113518472618376,0.0038095238095238095,9.070294784580499e-05,0.0037188208616780044,42.0,14.320388349514563,4,0,0,0.13,[[0. 0. 0. ... 0. 0. 0.]],2347.6637831048347

1,Aurthohin - Epitaph Lyrics.wav,373,78.30255681818181,26.864243938268096,5673.50454547584,0.014184189707983946,0.0045351473922902496,9.070294784580499e-05,0.0044444444444444444,50.0,9.47136563876652,6,1,6,0.0,[[0. 0. 0. ... 0. 0. 0.]],1804.6041202918614

1,Aushomapto  অসমাপ্ত  Aurthohin  Aushomapto-1  Original Track  @gseriesworldmusic3801.wav,754,151.99908088235293,25.81347619417636,5673.50454547584,0.08170214040219193,0.011700680272108844,9.070294784580499e-05,0.011609977324263039,129.0,9.385113268608414,0,0,5,0.010000000000000009,[[0. 0. 0. ... 0. 0. 0.]],1962.4220912705596

1,Bhalobasha Baki ভালোবাসা বাকি  Popeye Bangladesh.wav,737,143.5546875,30.01892171587537,5442.330451944964,-2.119123285070589,0.0045351473922902496,9.070294784580499e-05,0.0044444444444444444,50.0,5.833333333333333,1,1,6,0.07999999999999996,[[0. 0. 0. ... 0. 0. 0.]],1878.341043831442

1,Bhoboghurey  Cryptic Fate Band  Album Shrestho  Official lyrical Video.wav,993,161.4990234375,24.16352567002987,5238.420450214188,-0.5248182240490235,0.007301587301587302,0.00031746031746031746,0.006984126984126985,23.0,12.83987915407855,7,0,5,-0.09999999999999998,"[[   0.            0.            0.         ... 5344.64588239
  5213.193658   5064.31618308]]",2592.0162849021012

1,BISSHOY (বিস্ময়) - Mechanix  Official Music Video.wav,635,129.19921875,29.445563002410275,5673.50454547584,-0.9794895050138293,0.009342403628117914,9.070294784580499e-05,0.00925170068027211,103.0,9.06148867313916,10,0,5,0.030000000000000027,[[0. 0. 0. ... 0. 0. 0.]],2023.1093903515352

1,Black-Miththa.wav,595,161.4990234375,27.088143336102803,5673.50454547584,-0.892438695395502,0.0127437641723356,9.070294784580499e-05,0.012653061224489795,140.5,6.573705179282868,10,1,5,0.17000000000000004,[[0. 0. 0. ... 0. 0. 0.]],2626.3571917371064

1,Blue Jeans - Kodom  Artwork Video.wav,420,103.359375,24.87410909325901,5554.061737214742,2.145917665380297,0.004761904761904762,9.070294784580499e-05,0.004671201814058957,52.50000000000001,11.185983827493262,4,0,3,0.050000000000000044,[[0. 0. 0. ... 0. 0. 0.]],2224.767736485996

1,Blues & Rod  Black  All Time Hit Bangla Band Song  Official Lyrical Video.wav,465,95.703125,25.785220781594145,5673.50454547584,2.0582071480769013,0.009705215419501133,9.070294784580499e-05,0.009614512471655328,106.99999999999999,5.694760820045558,3,1,6,0.07999999999999996,"[[   0.            0.            0.         ... 4453.12983775
  6158.32297812 6149.91650716]]",2838.858201719641

1,Cafeteria  ক্যাফেটেরিয়া  Shironamhin  Ichche Ghuri  Original Track.wav,363,89.10290948275862,29.645015256216173,5673.50454547584,-3.564935420039805,0.004761904761904762,9.070294784580499e-05,0.004671201814058957,52.50000000000001,9.184993531694696,5,1,4,-0.04999999999999999,"[[   0.           0.           0.        ... 6042.1677062 5982.3325336
  5839.6542195]]",2888.6399847679204

